MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011314	0.00003525	15.1936	0.258525	-0.05374725	3.7
011315	0.00003525	15.1936	0.257	-0.055045	3.7
011316	0.00003525	15.1099	0.25575	-0.056437	3.7
011317	0.00003525	14.53795	0.2545	-0.0580265	3.7
011318	0.00003525	13.86835	0.2535	-0.05946575	3.7
011319	0.00003525	13.4638	0.2525	-0.06108	3.7
011320	0.00003525	13.2685	0.251975	-0.06211725	3.7
011321	0.00003525	13.0453	0.251475	-0.0626265	3.7
011322	0.00003525	12.9895	0.251475	-0.0626265	3.7
011323	0.00003525	12.94765	0.251225	-0.063117	3.7
011324	0.00003525	12.91975	0.251225	-0.063117	3.7
011401	0.00003525	12.91975	0.2512	-0.06332675	3.7
011402	0.00003525	12.7942	0.2512	-0.06332675	3.7
011403	0.00003525	12.50125	0.2512	-0.06285475	3.7
011404	0.00003525	12.5431	0.2517	-0.06188875	3.7
011405	0.00003525	12.6268	0.2522	-0.06098025	3.7
011406	0.00003525	12.44545	0.252675	-0.060164	3.7
011407	0.00003525	12.41755	0.253175	-0.0594285	3.7
011408	0.00003525	12.6547	0.253175	-0.05906575	3.7
011409	0.00003525	13.6591	0.253175	-0.05906575	3.7
011410	0.00003525	14.51005	0.253175	-0.05906575	3.7
011411	0.00003525	15.5842	0.25215	-0.0607675	3.7
011412	0.00003525	16.23985	0.25065	-0.0638915	3.7
011413	0.00003525	16.8118	0.24815	-0.06966825	3.7
011414	0.00003525	16.79785	0.2454	-0.07971775	3.7
011415	0.00003525	17.035	0.2429	-0.09362925	3.7
011416	0.00003525	16.76995	0.240875	-0.110393	3.7
011417	0.00003525	16.15615	0.238625	-0.1397765	3.7
011418	0.00003525	14.8309	0.234875	-0.2476505	3.7
011419	0.00003525	14.48215	0.234625	-0.260182	3.7
011420	0.00003525	14.53795	0.234375	-0.27383175	3.7
011421	0.00003525	13.33825	0.2341	-0.28877375	3.7
011422	0.00003525	13.25455	0.23385	-0.305083	3.7
011423	0.00003525	13.25455	0.2336	-0.32271325	3.7
011424	0.00003525	13.2685	0.23335	-0.34240275	3.7
011501	0.00003525	13.72885	0.2331	-0.36412875	3.7
011502	0.00003525	13.687	0.232825	-0.388216	3.7
011503	0.00003525	13.42195	0.232575	-0.41492	3.7
011504	0.00003525	13.2406	0.232325	-0.4444215	3.7
011505	0.00003525	13.11505	0.232075	-0.47770725	3.7
011506	0.00003525	13.0453	0.231825	-0.51508825	3.7
011507	0.00003525	13.0174	0.23155	-0.55728925	3.7
011508	0.00003525	13.129	0.2313	-0.60506275	3.7
011509	0.00003525	13.6591	0.2313	-0.6048145	3.7
011510	0.00003525	14.3287	0.2313	-0.6048145	3.7
011511	0.00003525	15.1099	0.215	-0.72894225	3.7
011512	0.00003525	15.3889	0.21625	-0.699166	3.7
011513	0.00003525	15.6679	0.21775	-0.67056075	3.7
011514	0.00003525	15.70975	0.21925	-0.65359725	3.7
011515	0.00003525	15.76555	0.2215	-0.63738425	3.7
011516	0.00003525	15.59815	0.223	-0.62872525	3.7
011517	0.00003525	15.12385	0.22375	-0.625152	3.7
011518	0.00003525	14.3008	0.22475	-0.62010475	3.7
011519	0.00003525	13.9102	0.226	-0.61589475	3.7
011520	0.00003525	13.86835	0.2275	-0.61210175	3.7
011521	0.00003525	14.28685	0.2295	-0.56029325	3.7
011522	0.00003525	14.0776	0.23375	-0.23725025	3.7
011523	0.00003525	14.0497	0.2355	-0.197552	3.7
011524	0.00003525	13.8823	0.236	-0.1760715	3.7
011601	0.00003525	13.408	0.2405	-0.1035165	3.7
011602	0.00003525	13.22665	0.245	-0.07536375	3.7
011603	0.00003525	13.05925	0.24725	-0.06783325	3.7
011604	0.00003525	12.9895	0.2495	-0.06329325	3.7
011605	0.00003525	12.83605	0.25125	-0.06079625	3.7
011606	0.00003525	12.72445	0.2525	-0.05982475	3.7
011607	0.00003525	12.66865	0.2535	-0.0590825	3.7
011608	0.00003525	12.55705	0.254	-0.05878925	3.7
011609	0.00003525	13.2964	0.2545	-0.05833975	3.7
011610	0.00003525	13.86835	0.255	-0.058362	3.7
011611	0.00003525	15.1936	0.25475	-0.0585685	3.7
011612	0.00003525	15.76555	0.2545	-0.0592085	3.7
011613	0.00003525	16.3096	0.254	-0.059465	3.7
011614	0.00003525	16.35145	0.253	-0.06085075	3.7
011615	0.00003525	16.49095	0.252	-0.061843	3.7
011616	0.00003525	16.32355	0.251	-0.06294175	3.7
011617	0.00003525	15.8353	0.25	-0.06464575	3.7
011618	0.00003525	14.51005	0.24925	-0.0653485	3.7
011619	0.00003525	13.8823	0.2485	-0.066802	3.7
011620	0.00003525	13.7986	0.2485	-0.066802	3.7
011621	0.00003525	13.72885	0.2485	-0.066802	3.7
011622	0.00003525	13.64515	0.24875	-0.0664475	3.7
011623	0.00003525	13.47775	0.249	-0.0659055	3.7
011624	0.00003525	13.36615	0.24925	-0.06557	3.7
011701	0.00003525	12.86395	0.24925	-0.06602525	3.7
011702	0.00003525	12.6826	0.24975	-0.06539875	3.7
011703	0.00003525	12.58495	0.24975	-0.06590825	3.7
011704	0.00003525	12.44545	0.25025	-0.0648045	3.7
011705	0.00003525	12.3757	0.25075	-0.06404975	3.7
011706	0.00003525	12.2362	0.25075	-0.06404975	3.7
011707	0.00003525	12.0688	0.251	-0.064325	3.7
011708	0.00003525	12.2641	0.25125	-0.0640675	3.7
011709	0.00003525	13.78465	0.2515	-0.0638165	3.7
011710	0.00003525	14.9983	0.2515	-0.0638165	3.7
011711	0.00003525	15.82135	0.251	-0.06414	3.7
011712	0.00003525	16.4491	0.25025	-0.06551575	3.7
011713	0.00003525	17.0908	0.24925	-0.0666735	3.7
011714	0.00003525	17.60695	0.248	-0.068834	3.7
011715	0.00003525	17.24425	0.247	-0.0697875	3.7
011716	0.00003525	17.2861	0.2455	-0.07276925	3.7
011717	0.00003525	16.74205	0.244	-0.0759505	3.7
011718	0.00003525	15.1657	0.24325	-0.0773095	3.7
011719	0.00003525	14.64955	0.24225	-0.08012025	3.7
011720	0.00003525	14.42635	0.242	-0.08079975	3.7
011721	0.00003525	13.61725	0.24225	-0.0798945	3.7
011722	0.00003525	13.70095	0.24225	-0.08012025	3.7
011723	0.00003525	13.2685	0.24275	-0.07882875	3.7
011724	0.00003525	13.0453	0.243	-0.078042	3.7
011801	0.00003525	14.1892	0.2435	-0.07687325	3.7
011802	0.00003525	14.1334	0.24375	-0.07631675	3.7
011803	0.00003525	13.8265	0.244	-0.07577775	3.7
011804	0.00003525	13.89625	0.24375	-0.07631675	3.7
011805	0.00003525	13.7707	0.24375	-0.07631675	3.7
011806	0.00003525	13.70095	0.24375	-0.07631675	3.7
011807	0.00003525	13.61725	0.244	-0.07610525	3.7
011808	0.00003525	13.75675	0.244	-0.07610525	3.7
011809	0.00003525	14.6914	0.2435	-0.07708975	3.7
011810	0.00003525	15.6679	0.24375	-0.07614975	3.7
011811	0.00003525	16.99315	0.24275	-0.078815	3.7
011812	0.00003525	17.7883	0.24175	-0.0814	3.7
011813	0.00003525	18.22075	0.24025	-0.0861545	3.7
011814	0.00003525	19.2112	0.23925	-0.08971225	3.7
011815	0.00003525	18.80665	0.23725	-0.09953225	3.7
011816	0.00003525	18.6253	0.235	-0.11410625	3.7
011817	0.00003525	18.151	0.233	-0.13352675	3.7
011818	0.00003525	16.49095	0.2315	-0.154685	3.7
011819	0.00003525	16.18405	0.2305	-0.17363175	3.7
011820	0.00003525	15.9748	0.2305	-0.17363175	3.7
011821	0.00003525	14.53795	0.22975	-0.185138	3.7
011822	0.00003525	14.37055	0.22925	-0.19826075	3.7
011823	0.00003525	14.23105	0.22875	-0.21337475	3.7
011824	0.00003525	14.0497	0.22875	-0.22160225	3.7
011901	0.00003525	15.62605	0.229	-0.213173	3.7
011902	0.00003525	15.361	0.22925	-0.2053435	3.7
011903	0.00003525	15.09595	0.227	-0.2899125	3.7
011904	0.00003525	14.9425	0.228	-0.24156975	3.7
011905	0.00003525	14.76115	0.22925	-0.1991145	3.7
011906	0.00003525	14.78905	0.231	-0.159889	3.7
011907	0.00003525	14.7472	0.232	-0.144102	3.7
011908	0.00003525	14.6914	0.23175	-0.14770825	3.7
011909	0.00003525	15.4168	0.22925	-0.1991145	3.7
011910	0.00003525	16.1701	0.22925	-0.1991145	3.7
011911	0.00003525	16.8397	0.232	-0.144102	3.7
011912	0.00003525	17.2861	0.22975	-0.19212925	3.7
011913	0.00003525	17.60695	0.227	-0.3046175	3.7
011914	0.00003525	17.8441	0.227	-0.3046175	3.7
011915	0.00003525	17.99755	0.227	-0.3046175	3.7
011916	0.00003525	17.872	0.227	-0.3046175	3.7
011917	0.00003525	17.55115	0.227	-0.3046175	3.7
011918	0.00003525	16.76995	0.22725	-0.303562	3.7
011919	0.00003525	16.1701	0.22725	-0.303562	3.7
011920	0.00003525	15.98875	0.2275	-0.302547	3.7
011921	0.00003525	16.15615	0.22775	-0.3015705	3.7
011922	0.00003525	16.07245	0.22775	-0.3015705	3.7
011923	0.00003525	15.9748	0.22775	-0.3015705	3.7
011924	0.00003525	15.82135	0.228	-0.3006305	3.7
012001	0.00003525	15.59815	0.22825	-0.3005855	3.7
012002	0.00003525	15.26335	0.22825	-0.3005855	3.7
012003	0.00003525	15.15175	0.2285	-0.29968025	3.7
012004	0.00003525	15.1936	0.2285	-0.29968025	3.7
012005	0.00003525	15.12385	0.22825	-0.3005855	3.7
012006	0.00003525	15.06805	0.2285	-0.29968025	3.7
012007	0.00003525	15.0541	0.2285	-0.29968025	3.7
012008	0.00003525	15.0541	0.2285	-0.29968025	3.7
012009	0.00003525	15.23545	0.23125	-0.29160475	3.7
